"Timestamp","Sources","Authors","Content","Opinions","Tags","Link","Classification"
"2015-06-08 11:15:42","Twitter search","Marce =)","esa publicidad de pepsi con el pocho lavezzi me enamora <3","Positive","","http://twitter.com/0595marce/statuses/607928996798599170","M"
"2015-06-09 12:15:28","Twitter: @pochopantera","Crespo","@pochopantera por vos me pase a Pepsi!! Sos el único Pocho para mi","Positive","","http://twitter.com/AgustinCcrespo/statuses/608306426071687168","M"
"2015-06-09 17:09:04","FanPage: Ezequiel Lavezzi","Adriana Ramirez Hermin","muy feliz cum,ple genio!!!!!!!!!","Positive","","http://www.facebook.com/ezequiel.lavezzi/posts/613702842066269?comment_id=613950742041479","M"
"2015-06-09 20:52:40","Twitter search","facu me ama","Es insuperable la propaganda de Pepsi en donde aparece lavezzi, me reí demasiado","Positive","","http://twitter.com/thelcapobianco/statuses/608436584296402945","M"
"2015-06-09 23:12:44","Twitter search","Ali.♡","Si compro la pepsi retornable me traen al @PochoLavezzi ????. Es pregunta","Positive","","http://twitter.com/Ali_RP_/statuses/608471833738883072","M"
"2015-06-10 17:02:50","Twitter: @PochoLavezzi","Marianela","@magaligaarcia @PepsiArgentina @PochoLavezzi @florcimariel @laaaaila fabuloso!! xD","Positive","","http://twitter.com/MariSannchez/statuses/608741131430580226","M"
"2015-06-10 17:14:04","Twitter: @PochoLavezzi","GeorJack Ü 25/05/15♡","@PepsiArgentina @PochoLavezzi <3 yo lo quiero si si si","Positive","","http://twitter.com/99Tatii/statuses/608743958823464960","M"
"2015-06-10 17:13:46","Twitter: @PochoLavezzi","GeorJack Ü 25/05/15♡","@CamyNavarreteRP @PepsiArgentina @PochoLavezzi @SrtaOfficial @fcb_pl22 matenmee!! lo quiero!","Positive","","http://twitter.com/99Tatii/statuses/608743882914951170","M"
"2015-06-10 19:13:37","Twitter: @PochoLavezzi","Godoy Cinthia","@PepsiArgentina @PochoLavezzi QUE CHULO POR DIOS!!","Positive","","http://twitter.com/gdcinthia/statuses/608774044662542336","M"
"2015-06-10 20:23:27","Twitter search","jo","Contrataría DIRECTV o compraría Pepsi solamente porque el Pocho Lavezzi está en sus publicidades. La gente de marketing sabe lo que me gusta","Positive","","http://twitter.com/josiviero/statuses/608791619207327744","M"
"2015-06-10 21:02:11","Twitter search","agustina","la de pepsi con los pochos y la de movistar del perro perdido me parecen los menos dolorosos de los comerciales al aire","Positive","","http://twitter.com/lomutina/statuses/608801366140678144","M"
"2015-06-11 13:03:53","Twitter search","Cala","Lo que está bueno es el Pocho Lavezzi, no la prima fea de la Coca que intentan vender. Los de Pepsi se piensan que somos estúpidos.","Positive","","http://twitter.com/CarliCasalini/statuses/609043387711430656","M"
"2015-06-11 15:20:07","FanPage: Ezequiel Lavezzi","Marionella Marion Castillo","quiero pepsi!","Positive","","http://www.facebook.com/ezequiel.lavezzi/posts/614331342003419?comment_id=614583561978197","M"
"2015-06-11 15:41:26","Twitter search","Mar - C","Jajajaja me acorde de la propaganda de pepsi jaja esa del pocho xd jajajajajja","Positive","","http://twitter.com/Master0840/statuses/609083034072137730","M"
"2015-06-11 16:24:58","Twitter search","Emanuel","Me mato la propaganda de Pepsi con pocho la pantera jajaja","Positive","","http://twitter.com/emanuelavila00/statuses/609093990873460736","M"
"2015-06-11 21:03:53","Twitter search","Bre.","Amo la propaganda de Pepsi, cuando lo muestran al Pocho Lavezzi y después la cara de paja de la vieja jajajajajaj","Positive","","http://twitter.com/BrendaaLobos/statuses/609164181271638018","M"
"2015-06-11 21:06:54","FanPage: Ezequiel Lavezzi","Tamara Puebla","Mariana Regueira se te antoja una pepsi?","Positive","","http://www.facebook.com/ezequiel.lavezzi/posts/614331342003419?comment_id=614657138637506","M"
"2015-06-12 09:19:40","FanPage: Ezequiel Lavezzi","Vanesa Dornelles","que mal que la están pasando chicos, jajjajaj, sigan asi genios","Positive","","http://www.facebook.com/ezequiel.lavezzi/posts/614672578635962?comment_id=614803188622901","M"
"2015-06-12 13:00:28","FanPage: Ezequiel Lavezzi","Malena Abriil ʚïɞ","Falta La Coca Y La Picadita <3","Positive","","http://www.facebook.com/ezequiel.lavezzi/posts/614672578635962?comment_id=614859761950577","M"
"2015-06-12 13:03:40","FanPage: Ezequiel Lavezzi","Graciela Ledesma","2-0 di maria y lavesi  aguante argentina!!","Positive","","http://www.facebook.com/ezequiel.lavezzi/posts/614672578635962?comment_id=614860278617192","M"
"2015-06-12 17:03:57","FanPage: Ezequiel Lavezzi","Yanii Flores Aiza","Son unos #Genioss! Angelito <3","Positive","","http://www.facebook.com/ezequiel.lavezzi/posts/614672578635962?comment_id=614922721944281","M"
"2015-06-12 22:04:54","FanPage: Ezequiel Lavezzi","Perla Carossino","UN TIERNOOOOO!!!!","Positive","","http://www.facebook.com/ezequiel.lavezzi/posts/614672578635962?comment_id=614989378604282","M"
"2015-06-13 18:58:11","Twitter search","Ana","CADA VEZ QUE NOMBRAN AL POCHO LAVEZZI ME ACUERDO DE LA PROPAGANDA DE PEPSI Y ME MEO . POCHOOOOO -inserte voz sexy-","Positive","","http://twitter.com/AniitaJuarez/statuses/609857326057660416","M"
"2015-06-13 20:09:34","Twitter: @PochoLavezzi","Gerald BB","El cambio era con @PochoLavezzi Señores!!! Le tiraba chorritos a los paraguayos y los distraia!!!! Mal los cambios!! http://t.co/2MsuzGg28u","Positive","","http://twitter.com/bb_gerald/statuses/609875287376048128","M"
"2015-06-13 21:08:34","Twitter search","Mica","Hoy cuando lo vi dije 'Que entre el Pocho' y pocho lo dije como exitada, por la propaganda, la de pepsi, esa gaseosa, con esa tapita bue","Positive","","http://twitter.com/MicaVivasRP_/statuses/609890136776679424","M"
"2015-06-14 18:31:48","FanPage: Ezequiel Lavezzi","Lucre Montorfano","a comprar siempre pepsii!!","Positive","","http://www.facebook.com/ezequiel.lavezzi/posts/614331342003419?comment_id=615517278551492","M"
"2015-06-15 19:59:58","Fanpage: Pepsi Argentina","Bárbara Florencia","El pocho va con la pepsi ?","Positive","","http://www.facebook.com/pepsiargentina/posts/838290212931209?comment_id=848658158561081","M"
"2015-06-16 08:14:53","Twitter search","VeroS #NiUnaMenos","Juro no tomar un #CocaCola más en mi vida si #Pepsi hace la publicidad de los Pochos con Máximo de Gladiator y la gorda Máximo K","Positive","","http://twitter.com/verosira/statuses/610782597883502592","M"
"2015-06-16 21:39:04","Twitter search","Zoe","(propaganda de pepsi pocho) Mamá: Yo si lo veo empinándosela lo agarro sabes como lo empino yo ke .","Positive","","http://twitter.com/Zooooouchi/statuses/610984976096624640","M"
"2015-06-16 21:36:59","Twitter search","Melina  ✟","qsy amo la propaganda de pepsi . jajaja pocho *.*","Positive","","http://twitter.com/melinaelizabet6/statuses/610984451892510720","M"
"2015-06-16 21:33:29","Twitter search","Candela","Amo la propaganda de pepsi...solo por que esta Pocho💞💕😍😍😍😍😍","Positive","","http://twitter.com/CandeFilach/statuses/610983569360601088","M"
"2015-06-16 21:32:47","Twitter search","Franco","*El Pocho destapa una Pepsi para festejar*","Positive","","http://twitter.com/FrancoBarlucia/statuses/610983395859021825","M"
"2015-06-16 23:05:42","Twitter search","que te pasa puto","yo veo la propaganda de pepsi con el pocho y me cago de la riss","Positive","","http://twitter.com/hemmingsvirgo/statuses/611006776436228096","M"
"2015-06-17 07:13:19","FanPage: Ezequiel Lavezzi","Rabe Melisa Estilista","Pooooooo chooooo hasta me tomo una pepsi por vos jaja","Positive","","http://www.facebook.com/ezequiel.lavezzi/posts/616243671812186?comment_id=616339798469240","M"
"2015-06-09 08:03:58","Twitter search","Mery","En la publicidad de Pepsi ambos Pochos me parecen asquerosos.. Como la Pepsi.. Todo cierra.","Negative","","http://twitter.com/Merilentini/statuses/608243135630704640","M"
"2015-06-09 13:15:33","Twitter search","Ara y Poe.","Si la propaganda de lavezzi y pocho la pantera la hacían con minas, Pepsi sería la peor mierda...","Negative","","http://twitter.com/aranzazupare/statuses/608321547502272512","M"
"2015-06-09 13:01:40","Twitter search","TifBarton","Para mi la propaganda de Pepsi de los 2 pochos es una mierda y también es sexista.","Negative","","http://twitter.com/tifafair/statuses/608318052954963968","M"
"2015-06-10 07:02:31","Twitter search","Pequeña Miri Molero","Ya me está molestando la publicidad radial de Pepsi con la minita poniendo voz de asco al hablar de Pocho la pantera. Quién te juna, tarada?","Negative","","http://twitter.com/MiriMolero/statuses/608590056056627200","M"
"2015-06-10 11:18:09","Twitter search","Pedro Delgado","@pepsi odio la propaganda radial de la pepsi retornable! El pocho esta en cuero! No en cueroS!  Además de ser una vergada!","Negative","","http://twitter.com/pjda88/statuses/608654390774390784","M"
"2015-06-10 13:37:34","Twitter search","Iara Giraldes","Que asco esa propaganda de pepsi. No sé si me das más asco el Pocho Lavezzi o Pocho la pantera. Pienso que Lavezzi.","Negative","","http://twitter.com/IaraGiraldes/statuses/608689475741470720","M"
"2015-06-10 17:13:41","Twitter: @PochoLavezzi","Maribel Sanabria","Muy buena la nueva APP de DIRECTV Sports para seguir la #CopaAmerica2015 @directvar http://t.co/ZV03CsjdNl","Negative","","http://twitter.com/mareesanabria/statuses/608743861368840193","M"
"2015-06-10 17:20:27","Twitter search","Soja","que asco el pocho lavezzi (aplica a las publicidades de pepsi especialmente)","Negative","","http://twitter.com/solohanian/statuses/608745564075909122","M"
"2015-06-10 19:17:14","Twitter: @PochoLavezzi","cami conechny","#CopaAmérica El @PochoLavezzi la rompió toda grabando para la TV oficial... https://t.co/nL8ZVPD7nj","Negative","","http://twitter.com/camiconechny/statuses/608774956797825024","M"
"2015-06-11 11:20:44","Twitter search","Pilar","Lo que está bueno es el Pocho Lavezzi, no la prima fea de la Coca que intentan vender. Los de Pepsi se piensan que somos estúpidos.","Negative","","http://twitter.com/PilAlmiron/statuses/609017428111036416","M"
"2015-06-11 12:15:50","Twitter search","abigαgørdα","me da risa la propaganda de pepsi porque entre los dos pochos me resulta más atractivo un plato de guiso","Negative","","http://twitter.com/whorrxrghost/statuses/609031296476536832","M"
"2015-06-11 12:14:54","Twitter search","brainless","me da risa la propaganda de pepsi porque entre los dos pochos me resulta más atractivo un plato de guiso","Negative","","http://twitter.com/ChiaraBenitez17/statuses/609031059049750529","M"
"2015-06-11 12:09:25","Twitter search","Radio Pueblo","Acabo de escuchar en la Radio un comercial es Pepsi donde 'cosifican' al Pocho Lavessi y hacen Bullying a Pocho... http://t.co/cLTXUuHWDh","Negative","","http://twitter.com/radiopueblo2015/statuses/609029678884638720","M"
