"Timestamp","Sources","Authors","Content","Opinions","Tags","Link","Classification"
"2015-06-09 20:00:10","Twitter search","Diegolight","@Ziof_2001 estoy esperando que me compartas una Coca Cola Zero 🙊","Positive","","http://twitter.com/DiegoTabasso/statuses/608423373127974912","M"
"2015-06-09 22:04:56","Twitter search","Natalia Albera","@BrendaZul023 necesito sol, playa y coca cola zero!","Positive","","http://twitter.com/NataliaAlbera/statuses/608454771624808448","M"
"2015-06-09 22:01:36","Twitter search","Time To Be A Live","Coca Cola Zero .. bien eh! bastante bien jajajaja","Positive","","http://twitter.com/EmaDominguez7/statuses/608453931052769281","M"
"2015-06-10 03:38:49","Twitter search","Ezekiel Bernal","Que buena que esta la propaganda de Coca Cola Zero 👏","Positive","","http://twitter.com/EzekielBernal18/statuses/608538797060550656","M"
"2015-06-10 07:11:16","Twitter search","At. XIV","Fvck Pepsi, yo quiero Coca Cola Zero.","Positive","","http://twitter.com/Jizzzey/statuses/608592259026702337","M"
"2015-06-10 08:02:21","Twitter search","Ana Cachin;)","Pringels y coca cola zero. ❤","Positive","","http://twitter.com/AnaCachinero/statuses/608605114874654721","M"
"2015-06-11 10:14:22","Twitter search","puli","las de coca cola zero son las mejores y siempre será así","Positive","","http://twitter.com/capxtanfire/statuses/609000725633449984","M"
"2015-06-11 10:29:54","Twitter search","Gloria Chiapa","@deco_df Uta y yo súper fan de la Coca Cola Zero :(","Positive","","http://twitter.com/GloriaChiapa/statuses/609004635903303681","M"
"2015-06-11 20:22:36","Twitter search","Maria C. Fernandez N","Ser fitness es comer lechona con Coca-Cola Zero y hacerle la lipo al cuerito tostadito antes de comerlo.","Positive","","http://twitter.com/MaCeFernandezN/statuses/609153792026779648","M"
"2015-06-12 00:04:49","Twitter search","azül","que buenas son las propagandas de cocacola cero en las que cagan a personas haciendoles pensar que toman cocacola comun i want","Positive","","http://twitter.com/inmortalharry/statuses/609209715537653760","M"
"2015-06-12 08:10:05","Twitter search","Jona Torres","La publicidad de coca-cola zero me dieron ganas de tomar una je","Positive","","http://twitter.com/23_jonatan/statuses/609331836045664256","M"
"2015-06-12 10:28:19","Twitter search","Limeki Wuivre.","Me prostituyo por Coca Cola Zero y vuestra sangre.","Positive","","http://twitter.com/BloodShadows_/statuses/609366625813442561","M"
